Centroids of 10 clusters after 20 iterations for Euclidean Distance



Centroids of 10 clusters after 20 iterations for Manhattan Distance 

Centroid 1 ->[0.11, 0.12, 0.33, 0.17, 0.39, 0.13, 0.21, 0.15, 0.13, 0.27, 0.1, 0.54, 0.09, 0.03, 0.02, 0.29, 0.31, 0.22, 1.75, 0.19, 1.0, 0.46, 0.17, 0.1, 0.46, 0.16, 0.08, 0.04, 0.03, 0.03, 0.04, 0.02, 0.04, 0.02, 0.05, 0.06, 0.15, 0.01, 0.03, 0.08, 0.02, 0.03, 0.03, 0.02, 0.14, 0.14, 0.01, 0.03, 0.14, 0.14, 0.02, 0.29, 0.13, 0.09, 6.9, 70.52, 338.72, 0.6]
Centroid 2 ->[0.14, 0.15, 0.34, 0.34, 0.29, 0.13, 0.07, 0.17, 0.37, 0.46, 0.1, 0.52, 0.14, 0.09, 0.14, 0.28, 0.14, 0.35, 1.48, 0.22, 0.92, 0.81, 0.19, 0.19, 0.38, 0.14, 0.02, 0.02, 0.01, 0.02, 0.02, 0.0, 0.1, 0.0, 0.1, 0.04, 0.14, 0.0, 0.02, 0.03, 0.01, 0.02, 0.01, 0.01, 0.04, 0.05, 0.01, 0.03, 0.05, 0.12, 0.04, 0.29, 0.16, 0.1, 5.85, 114.28, 1151.35, 0.66]
Centroid 3 ->[0.3, 0.2, 0.3, 0.05, 0.16, 0.09, 0.03, 0.15, 0.29, 0.44, 0.17, 0.61, 0.34, 0.64, 0.05, 0.22, 0.29, 0.12, 2.05, 0.05, 0.94, 0.05, 0.4, 0.31, 0.24, 0.07, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.21, 0.0, 0.0, 0.04, 0.16, 0.0, 0.01, 0.03, 0.01, 0.01, 0.01, 0.01, 0.05, 0.04, 0.01, 0.04, 0.03, 0.11, 0.01, 0.28, 0.35, 0.09, 6.38, 247.19, 2756.26, 0.77]
Centroid 4 ->[0.09, 0.15, 0.33, 0.12, 0.43, 0.14, 0.18, 0.13, 0.06, 0.28, 0.07, 0.58, 0.12, 0.03, 0.05, 0.28, 0.27, 0.25, 1.62, 0.12, 1.0, 0.05, 0.15, 0.1, 0.53, 0.27, 0.15, 0.13, 0.08, 0.11, 0.06, 0.04, 0.11, 0.05, 0.1, 0.1, 0.18, 0.01, 0.09, 0.08, 0.04, 0.04, 0.07, 0.04, 0.16, 0.11, 0.0, 0.02, 0.03, 0.16, 0.02, 0.27, 0.09, 0.03, 3.65, 38.1, 187.05, 0.54]
Centroid 5 ->[0.12, 0.09, 0.26, 0.0, 0.23, 0.06, 0.13, 0.08, 0.03, 0.21, 0.06, 0.59, 0.09, 0.03, 0.02, 0.23, 0.09, 0.17, 1.66, 0.01, 0.8, 0.0, 0.05, 0.06, 0.88, 0.47, 0.35, 0.31, 0.22, 0.27, 0.19, 0.15, 0.14, 0.15, 0.26, 0.22, 0.23, 0.01, 0.16, 0.16, 0.06, 0.17, 0.07, 0.11, 0.3, 0.22, 0.0, 0.03, 0.02, 0.18, 0.02, 0.24, 0.05, 0.05, 2.35, 11.63, 51.58, 0.27]
Centroid 6 ->[0.11, 0.09, 0.26, 0.0, 0.36, 0.11, 0.13, 0.13, 0.05, 0.23, 0.05, 0.48, 0.09, 0.04, 0.03, 0.33, 0.14, 0.17, 1.74, 0.05, 0.87, 0.02, 0.1, 0.08, 0.49, 0.34, 0.2, 0.2, 0.07, 0.11, 0.05, 0.05, 0.08, 0.05, 0.12, 0.13, 0.13, 0.0, 0.09, 0.05, 0.03, 0.05, 0.07, 0.07, 0.28, 0.19, 0.01, 0.03, 0.02, 0.14, 0.02, 0.25, 0.07, 0.05, 2.81, 20.88, 103.95, 0.46]
Centroid 7 ->[0.16, 0.17, 0.38, 0.16, 0.35, 0.13, 0.1, 0.15, 0.26, 0.38, 0.09, 0.77, 0.13, 0.11, 0.09, 0.27, 0.23, 0.16, 1.59, 0.13, 1.15, 0.29, 0.15, 0.17, 0.66, 0.16, 0.02, 0.02, 0.01, 0.02, 0.01, 0.0, 0.09, 0.0, 0.02, 0.06, 0.13, 0.01, 0.02, 0.02, 0.04, 0.08, 0.01, 0.01, 0.06, 0.12, 0.01, 0.02, 0.08, 0.16, 0.01, 0.48, 0.14, 0.06, 7.44, 100.85, 603.84, 0.62]
Centroid 8 ->[0.05, 0.51, 0.18, 0.0, 0.22, 0.04, 0.03, 0.04, 0.01, 0.11, 0.01, 0.44, 0.05, 0.05, 0.0, 0.16, 0.02, 0.1, 1.63, 0.03, 0.42, 0.0, 0.01, 0.06, 0.43, 0.17, 2.69, 0.02, 0.13, 0.04, 0.02, 0.0, 0.09, 0.0, 0.04, 0.02, 0.05, 0.03, 0.06, 0.0, 0.06, 0.32, 0.02, 0.15, 0.64, 0.27, 0.01, 0.04, 0.02, 0.09, 0.02, 0.2, 0.01, 0.0, 1.51, 3.75, 14.41, 0.08]
Centroid 9 ->[0.18, 0.19, 0.82, 0.13, 0.68, 0.48, 0.25, 0.16, 0.53, 0.55, 0.19, 0.73, 0.14, 0.11, 0.88, 0.3, 0.12, 0.69, 1.53, 0.75, 1.22, 0.08, 0.48, 0.13, 0.05, 0.0, 0.02, 0.01, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.02, 0.0, 0.0, 0.04, 0.0, 0.0, 0.08, 0.01, 0.04, 0.03, 0.0, 0.0, 0.01, 0.09, 0.0, 0.51, 0.16, 0.02, 104.38, 786.15, 1367.68, 0.99]
Centroid 10 ->[0.07, 0.01, 0.15, 0.01, 0.07, 0.08, 0.0, 0.04, 0.05, 0.15, 0.06, 0.06, 0.05, 0.01, 0.03, 0.06, 0.06, 0.06, 0.44, 0.01, 0.17, 1.36, 0.1, 0.08, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.02, 0.0, 0.02, 0.0, 0.0, 0.01, 0.0, 0.07, 0.0, 0.0, 0.0, 0.03, 0.11, 0.0, 0.01, 0.32, 1.48, 0.03, 0.28, 0.28, 0.29, 41.94, 1653.71, 9220.14, 0.71]
